"","stop_id","stop_name","latitude","longitude"
"8511",70217,"Saint Paul Street",42.34334,-71.116927
"8512",70218,"Saint Paul Street C Line",42.343118,-71.117498
"8516",70030,"Sullivan Square",42.383975,-71.076994
"8520",70223,"Summit Avenue",42.34112,-71.125652
"8521",70224,"Summit Avenue",42.341027,-71.125759
"8523",70241,"Symphony",42.342687,-71.085056
"8532",70231,"Tappan Street",42.338498,-71.138731
"8533",70232,"Tappan Street",42.338567,-71.13819
"8537",70016,"Tufts Medical Center",42.349662,-71.063917
"8542",70271,"Valley Road",42.268322,-71.081568
"8543",70272,"Valley Road",42.268277,-71.081544
"8548",70164,"Waban",42.325899,-71.230805
"8549",70165,"Waban",42.325943,-71.23073
"8557",70120,"Washington Street",42.344329,-71.142385
"8558",70121,"Washington Street",42.343974,-71.142731
"8563",70032,"Wellington",42.40237,-71.077082
"8569",70049,"Wood Island",42.37964,-71.022865
"8574",70099,"Wollaston",42.266514,-71.020337
"8579",70059,"Wonderland",42.413513,-70.991737
"8580",70060,"Wonderland",42.413495,-70.991613
"8587",70162,"Woodland",42.333339,-71.244333
"8588",70163,"Woodland",42.333372,-71.244303
"8593",70124,"Warren Street",42.348285,-71.140436
"8594",70125,"Warren Street",42.348819,-71.140051
